ID,LAT,LON,JAM,KLOROFIL,TEMP,KEC.ANGIN,ARAH,LEMBAB,TG GLOMBANG,TG SIG,PERIODE GEL,SPL,CUACA,POSISI
A,-8.124491,110.287628,8:16,77,29,20,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
B,-8.05787,110.052795,8:16,137,29,20,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
E,-8.657057,111.30249,8:16,194,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
C,-8.341953,110.65155,8:16,182,29,20,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
D,-8.545714,111.036072,8:16,189,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
A,-8.124491,110.287628,8:46,77,29,20,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
E,-8.657057,111.30249,8:46,194,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
D,-8.545714,111.036072,8:46,189,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
B,-8.05787,110.052795,8:46,137,29,20,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
C,-8.341953,110.65155,8:46,182,29,20,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
A,-8.124491,110.287628,9:17,77,29,19,WNW,75,1.1,1.0,13.1,29,Sunny,target
D,-8.545714,111.036072,9:17,189,29,22,WNW,76,1.1,1.0,13.2,29,"Patchy light rain with thunder",target
B,-8.05787,110.052795,9:17,137,29,19,WNW,75,1.1,1.0,13.1,29,Sunny,target
C,-8.341953,110.65155,9:17,182,29,19,WNW,75,1.1,1.0,13.1,29,Sunny,target
E,-8.657057,111.30249,9:17,194,29,22,WNW,76,1.1,1.0,13.2,29,"Patchy light rain with thunder",target
A,-8.124491,110.287628,9:47,77,29,19,WNW,75,1.1,1.0,13.1,29,Sunny,target
C,-8.341953,110.65155,9:47,182,29,19,WNW,75,1.1,1.0,13.1,29,Sunny,target
B,-8.05787,110.052795,9:47,137,29,19,WNW,75,1.1,1.0,13.1,29,Sunny,target
E,-8.657057,111.30249,9:47,194,29,22,WNW,76,1.1,1.0,13.2,29,"Patchy light rain with thunder",target
D,-8.545714,111.036072,9:47,189,29,22,WNW,76,1.1,1.0,13.2,29,"Patchy light rain with thunder",target
